"","教室","月1","月2","月3","月4","月5","火1","火2","火3","火4","火5","水1","水2","水3","水4","水5","木1","木2","木3","木4","木5","金1","金2","金3","金4","金5"
"50","研究室９５２４","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"51","２２４教室","0","0","1","1","0","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0"
"52","２２１教室","0","0","0","1","0","0","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0"
"53","１０３０３教室","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1"
"54","１０２１２教室","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1"
"55","７２３教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","0","0"
"56","９７２教室","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0"
"57","１０２１０教室","0","1","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0"
"58","スタジオ２０２","0","1","1","0","1","1","1","1","0","0","0","1","1","1","1","0","1","1","0","1","0","1","1","0","1"
"59","ゼミ７７教室","0","1","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","1","0","0"
"60","ゼミ１０５Ｇ","0","0","0","1","0","0","1","0","0","0","1","1","1","1","0","0","1","0","1","1","0","0","1","0","0"
"61","研究室１０６３４","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1"
"62","１３２教室","1","1","1","1","0","1","1","1","0","1","0","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"63","１０３０２教室","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0"
"64","３３６教室","0","1","0","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","1"
"65","１０３０１教室","0","1","1","1","0","0","1","0","0","1","0","1","1","1","1","0","1","1","1","0","0","1","1","1","0"
"66","１０２１５教室","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0"
"67","シアター２０１","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1"
"68","３３４教室","0","1","1","1","1","0","1","0","0","0","1","1","1","1","0","0","1","0","1","0","0","1","1","1","1"
"69","研究室３６１８","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0"
"70","９７１教室","0","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","1","1","1","1","0","1","1","0","1"
"71","１０２１１教室","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","0","1","1","0","0","0","1","1","1"
"72","２０９教室","0","1","1","0","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
"73","ゼミ７５教室","0","1","1","1","1","0","1","0","0","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","0"
"74","研究室１０６４０","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0"
"75","１３１教室","1","1","1","1","0","0","1","1","0","1","0","1","1","1","0","1","1","1","1","0","0","1","1","1","0"
"76","１０３０９教室","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0"
"77","１０３０６教室","1","1","1","1","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1"
"78","１０２０８教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0"
"79","１０２１３教室","1","1","1","1","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0"
"80","研究室３４０６","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"81","４２８教室","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","1","0"
"82","７０１教室","1","1","1","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0"
"83","７１１教室","0","1","1","1","1","0","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0"
"84","３３２教室","0","0","1","0","1","0","1","1","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","0","1"
"85","研究室９５２５","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"86","研究室３４０５","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"87","８１４教室","1","1","1","1","0","1","1","0","0","1","1","1","1","0","0","0","1","1","1","0","1","1","0","1","1"
"88","５２５教室","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1"
"89","ゼミ１０１Ｈ","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","1","0","1","0","1","1","0","0","0"
"90","１０２０７教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","0","1","1","0","0","1","1","1","0"
"91","研究室３５１２","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"92","１２２教室","0","1","1","1","0","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","0","1","0"
"93","スタジオ２１１","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
"94","研究室１０６０９","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","１０２０６教室","0","1","1","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0"
"96","１０３１１教室","0","1","1","1","0","1","1","0","0","0","1","1","0","1","0","0","1","1","1","0","1","1","1","1","0"
"97","４２０教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1"
"98","ゼミ７２教室","0","1","1","1","0","0","1","0","0","0","1","1","1","1","0","0","1","1","1","0","0","0","1","1","0"
"99","８２４教室","0","1","1","1","0","0","1","1","0","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","0"
"100","３３１教室","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","1","1","0","0","0","1","1","1","0","0"
"101","７２１教室","1","1","1","1","1","0","1","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1"
"102","１０２０２教室","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0"
"103","１０３０５教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","0","1","1","0","1","1","1","0","0"
"104","５２２教室","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"105","１１７教室","0","1","1","1","1","0","1","0","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0"
"106","８１２教室","1","1","0","1","0","1","1","0","0","0","0","1","1","1","1","0","1","1","0","0","0","1","1","1","0"
"107","１０３１３教室","0","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0"
"108","７６１教室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"109","３３７教室","0","1","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","1"
"110","研究室３５０９","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"111","ゼミ７３教室","0","0","1","1","1","0","1","0","0","0","0","1","1","1","0","0","1","1","1","1","0","0","1","0","0"
"112","１０１０５教室","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0"
"113","１２１教室","0","1","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","0","1","0"
"114","１０５教室","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"115","１０１０１教室","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"116","研究室８４２８","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"117","８２１教室","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1"
"118","ゼミ９５Ｇ","0","1","1","1","1","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","0","1","1"
"119","８１１教室","0","1","0","1","0","1","1","0","1","0","1","1","0","0","0","0","1","1","0","1","0","1","1","1","0"
"120","３３３教室","1","1","1","1","0","0","1","0","1","1","0","1","1","0","1","0","0","1","1","0","0","0","1","1","0"
"121","研究室３４１５","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","９７４教室","1","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0"
"123","３３９教室","0","1","0","1","1","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0"
"124","５２１教室","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"125","３３５教室","0","0","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1"
