"","教室","月1","月2","月3","月4","月5","火1","火2","火3","火4","火5","水1","水2","水3","水4","水5","木1","木2","木3","木4","木5","金1","金2","金3","金4","金5"
"222","７８４教室","0","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1"
"223","８４１教室","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0"
"224","８４２教室","0","1","1","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0"
"225","研究室１１０９","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"226","８３４教室","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"227","１０１０４教室","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0"
"228","ゼミ１０１２Ｆ","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1"
"229","研究室１１０５","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"230","研究室９１４","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"231","１００８２教室","1","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","0"
"232","ゼミ１０１２Ｅ","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","0","1","1","1","0","0","1"
"233","プール","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0"
"234","ゼミ４６教室","0","0","1","1","1","0","1","0","0","0","1","0","1","1","1","0","0","1","1","1","0","1","0","1","0"
"235","体育室２","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"236","７７４教室","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0"
"237","７６４教室","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0"
"238","８２２教室","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","1","0"
"239","５６１教室","0","1","1","1","1","0","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0"
"240","研究室１０１１","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0"
"241","研究室１１１６","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"242","１００９１教室","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"243","研究室１２０８","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"244","４２７教室","0","1","1","1","0","0","1","0","0","0","1","1","0","0","0","1","1","1","1","1","0","1","1","0","0"
"245","研究室１１０４","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","８３６教室","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"247","研究室１３０２","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0"
"248","研究室１０１３","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"249","７８２教室","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"250","研究室１００１","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"251","研究室１１１１","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0"
"252","研究室１００５","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"253","研究室１１１３","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"254","８３３教室","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"255","ゼミ４４教室","0","0","1","1","1","0","0","0","1","0","1","0","1","1","1","0","0","1","0","1","0","0","1","0","1"
"256","研究室１２０７","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0"
"257","２０２教室","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0"
"258","７６３教室","0","0","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0"
"259","研究室１３１３","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"260","研究室１１１７","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261","８４３教室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"262","研究室１２１０","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"263","７７２教室","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"264","研究室１２０６","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"265","研究室１２０９","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0"
"266","研究室１００７","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"267","研究室８４０５","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"268","研究室１３０４","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"269","ゼミ４１教室","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","1","0","0","1","0","0"
"270","研究室８５１７","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"271","ゼミ１０１２Ｉ","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1"
"272","研究室１２０２","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"273","研究室１０１２","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"274","自然科学実験室１","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"275","７７３教室","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"276","研究室１１１２","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"277","ＣＡＬＬ教室２","0","0","1","1","0","1","1","1","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"278","西グラウンド","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0"
"279","第一体育館","0","0","1","1","0","1","1","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0"
"280","７２５教室","0","1","1","1","1","0","1","1","1","0","1","1","1","1","0","0","0","1","1","0","1","1","1","0","0"
"281","９６４教室","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"282","５２７教室","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"283","卓球場Ｂ","0","0","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","1","0","0","1","1","1","0","0"
"284","９６５教室","1","1","1","1","0","1","0","1","1","1","1","0","1","1","0","1","1","1","1","0","1","1","0","0","0"
"285","研究室９７０１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"286","考古学教室","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"287","研究室８３１３","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"288","ゼミ１０５Ｂ","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","1","1","0"
"289","ゼミ１０５Ｑ","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"290","研究室１０６２５","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"291","ゼミ１０５Ｐ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"292","研究室８３１１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"293","トレーニング室","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","0","0","0","1","1","1","1","0"
"294","第二体育館","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"295","９６２教室","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0"
"296","研究室１０６１７","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"297","９６３教室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"298","２２３教室","0","1","1","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0"
"299","研究室３５０１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"300","研究室１０６２１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"301","研究室８３２６","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","ゼミ１０５Ｒ","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","0"
"303","研究室３６０６","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"304","１２３教室","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","1","1"
"305","研究室３４０９","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"306","ゼミ１０５Ａ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1"
"307","研究室３６１６","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"308","２２５教室","0","1","0","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","0","1","0"
"309","ゼミ１０１Ｇ","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","0","0","0"
"310","研究室３４１２","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"311","研究室３５１８","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"312","５２４教室","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"313","ゼミ１０５Ｋ","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"314","研究室１０６１３","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"315","７５１教室","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","0","0"
"316","ゼミ１０１Ｅ","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","1","0"
"317","９６６教室","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0"
"318","研究室１０６１６","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"319","研究室８３１０","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"320","ゼミ１０５Ｘ","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"321","研究室３６０５","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"322","端末室Ｃ","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"323","研究室９７１６","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"324","２２７教室","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","1","1","0","1","0","0","0"
"325","５１１教室","0","1","1","1","0","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","0","1"
"326","研究室３４１３","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"327","ゼミ１０１Ｂ","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0"
"328","３３８教室","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0"
"329","５４２教室","1","1","1","1","0","1","1","0","0","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","0"
"330","ＣＡＬＬ教室Ｃ","1","1","1","1","0","0","1","0","0","0","1","1","1","1","0","0","0","1","1","0","0","0","1","1","0"
"331","ＣＡＬＬ教室Ｂ","0","0","1","1","0","1","1","1","1","0","1","1","1","1","0","0","0","1","0","0","1","1","0","1","1"
"332","研究室５０６","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0"
"333","研究室７１３","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"334","研究室６０７","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"335","７５２教室","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0"
"336","研究室５０７","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"337","研究室１４１７","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"338","研究室５１０","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"339","研究室５１３","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"340","研究室７０９","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"341","研究室５０９","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"342","研究室９０１","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"343","研究室１４１６","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"344","ゼミ１０１２Ｇ","0","0","1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0","1","0","1","0"
"345","研究室５１２","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"346","研究室９１６","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"347","研究室１４１５","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"348","研究室６０３","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"349","ゼミ１０５Ｄ","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"350","研究室１４０４","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"351","研究室７１４","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"352","研究室７０７","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"353","研究室９１３","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"354","研究室６０４","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"355","研究室３５１５","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"356","研究室３４０３","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"357","研究室９５０２","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"358","ＣＡＬＬ教室Ｄ","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"359","ＣＡＬＬ教室Ａ","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0"
"360","研究室８４０４","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"361","研究室３４０１","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"362","研究室４Ｆ２３","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"363","地理学実習室","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"364","研究室３６１０","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"365","研究室９５２１","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"366","研究室３４２０","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"367","研究室９５１０","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"368","研究室４Ｆ２１","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"369","地理学調査実習室","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"370","研究室３６１１","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"371","演習室Ｈ０９","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"372","研究室９５０８","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"373","研究室１０６１５","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"374","研究室１０６２６","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"375","ゼミ１０５Ｗ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0"
"376","研究室８４０１","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"377","研究室９６１４","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"378","研究室９５０９","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379","研究室４Ｆ２４","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
"380","演習室Ｈ１１","0","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"381","ゼミ１０５Ｉ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"382","研究室１１２１８","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"383","研究室４Ｆ１６","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"384","研究室１１２１９","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"385","研究室３６１２","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0"
"386","研究室９５０６","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"387","研究室４Ｆ１３","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"388","演習室Ｈ０８","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"389","演習室Ｈ０１","1","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"390","研究室９５０４","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0"
"391","演習室Ｈ０２","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1"
"392","研究室９５２０","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"393","研究室８４０３","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0"
"394","研究室９５０１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0"
"395","研究室８３２０","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"396","ゼミ１０５Ｍ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"397","研究室１０６３０","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"398","研究室３５０７","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"399","研究室９５０５","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"400","研究室４Ｆ２２","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"401","研究室３６１４","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","研究室１１２１７","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0"
"403","研究室１１２１３","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","研究室９５０７","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"405","研究室９５１２","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"406","研究室９６１５","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"407","研究室９６０７","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408","ゼミ１０５Ｖ","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","書道室","0","1","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","1","1","0","0","0","0","1","0"
"410","研究室９５０３","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"411","研究室８４０２","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"412","研究室１０６２２","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"413","研究室４Ｆ１４","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1"
"414","研究室９６０４","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"415","地理学空間情報処理室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"416","端末室Ｄ","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"417","ゼミ１０５Ｔ","0","0","1","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","1","1"
"418","定時外","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"419","ゼミ１０５Ｃ","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"420","研究室４Ｆ０８","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0"
"421","社会調査実習室１","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","1","1"
"422","研究室４４０４","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"423","ゼミ４４Ｂ","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"424","社会調査実習室６","1","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"425","社会調査実習室３","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0"
"426","研究室１１２０４","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"427","研究室４Ｆ０５","0","0","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"428","社会調査実習室２","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","1","1","0"
"429","社会学パソコン室","1","0","0","1","0","1","1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"430","研究室４４０２","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"431","研究室４４０３","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"432","研究室４４０１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"433","研究室８３２１","0","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"434","ゼミ９８Ｆ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"435","研究室１１２０９","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"436","研究室４Ｆ０７","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"437","演習室Ｈ０７","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"438","研究室１１２１１","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"439","ゼミ１０５Ｌ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"440","研究室１１２０７","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"441","研究室１１２０８","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"442","研究室４Ｆ１８","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
